Repository,Ontology,CreationDate,Format,Filename,Length,URL
data.bioontology.org,NCIT,20240223,OWL,ncit-20240223-owl__ThesaurusInf.OWL.zip,43862890,https://data.bioontology.org/ontologies/NCIT/submissions/142
data.bioontology.org,UBERON,20240322,OWL,uberon-20240322-owl__uberon.owl,91151350,https://data.bioontology.org/ontologies/UBERON/submissions/343
data.bioontology.org,PANET,20240425,OWL,panet-20240425-owl__PaNET.owl,208390,https://data.bioontology.org/ontologies/PANET/submissions/25
data.bioontology.org,IDOBRU,20150328,OWL,idobru-20150328-owl__brucellosis-merged.owl,4878624,https://data.bioontology.org/ontologies/IDOBRU/submissions/61
data.bioontology.org,RS,20240422,OBO,rs-20240422-obo__rat-strain.obo,1083077,https://data.bioontology.org/ontologies/RS/submissions/264
data.bioontology.org,ORDO,20231213,OWL,ordo-20231213-owl__ordo-orphanet.owl,44031672,https://data.bioontology.org/ontologies/ORDO/submissions/28
data.bioontology.org,SYMP,20240209,OWL,symp-20240209-owl__symp.owl,831649,https://data.bioontology.org/ontologies/SYMP/submissions/34
data.bioontology.org,DOID,20240501,OWL,doid-20240501-owl__doid.owl,25057545,https://data.bioontology.org/ontologies/DOID/submissions/648
data.bioontology.org,MMO,20230710,OBO,mmo-20230710-obo__measurement-method.obo,493846,https://data.bioontology.org/ontologies/MMO/submissions/133
data.bioontology.org,EFO,20240415,OWL,efo-20240415-owl__efo.owl,228340545,https://data.bioontology.org/ontologies/EFO/submissions/262
data.bioontology.org,NANDO,20240227,OWL,nando-20240227-owl__nando.ttl,2814531,https://data.bioontology.org/ontologies/NANDO/submissions/15
data.bioontology.org,SWO,20230305,OWL,swo-20230305-owl__swo.owl,3132540,https://data.bioontology.org/ontologies/SWO/submissions/32
data.bioontology.org,PLANP,20200330,OWL,planp-20200330-owl__planp.owl,10529138,https://data.bioontology.org/ontologies/PLANP/submissions/5
data.bioontology.org,GO-PLUS,20240430,OWL,go-plus-20240430-owl__go-plus.owl,199798312,https://data.bioontology.org/ontologies/GO-PLUS/submissions/697
data.bioontology.org,HP,20240426,OBO,hp-20240426-obo__hp.obo,10156139,https://data.bioontology.org/ontologies/HP/submissions/613
data.bioontology.org,NCBITAXON,20240131,UMLS,ncbitaxon-20240131-umls__NCBITAXON.ttl,480408492,https://data.bioontology.org/ontologies/NCBITAXON/submissions/23
data.bioontology.org,OAE,20220903,OWL,oae-20220903-owl__oae-merged.owl,12935509,https://data.bioontology.org/ontologies/OAE/submissions/171
data.bioontology.org,CHEBI,20240501,OBO,chebi-20240501-obo__chebi.obo,250549203,https://data.bioontology.org/ontologies/CHEBI/submissions/196
data.bioontology.org,PW,20231113,OBO,pw-20231113-obo__pathway.obo,1307486,https://data.bioontology.org/ontologies/PW/submissions/112
data.bioontology.org,BIBLIOTEK-O,20170711,OWL,bibliotek-o-20170711-owl__ontology.owl,242969,https://data.bioontology.org/ontologies/BIBLIOTEK-O/submissions/3
data.bioontology.org,INO,20220327,OWL,ino-20220327-owl__ino-merged.owl,493136,https://data.bioontology.org/ontologies/INO/submissions/34
data.bioontology.org,GLYCORDF,20231218,OWL,glycordf-20231218-owl__glycan.owl,385545,https://data.bioontology.org/ontologies/GLYCORDF/submissions/60
data.bioontology.org,MARC-LANGUAGES,20240429,SKOS,marc-languages-20240429-skos__languages.skosrdf.ttl,464803,https://data.bioontology.org/ontologies/MARC-LANGUAGES/submissions/271
data.bioontology.org,MOP,20220517,OWL,mop-20220517-owl__mop.owl,4842233,https://data.bioontology.org/ontologies/MOP/submissions/8
data.bioontology.org,ZFS,20200408,OWL,zfs-20200408-owl__zfs.owl,74652,https://data.bioontology.org/ontologies/ZFS/submissions/168
data.bioontology.org,CARO,20230315,OWL,caro-20230315-owl__caro.owl,9696885,https://data.bioontology.org/ontologies/CARO/submissions/16
data.bioontology.org,HSAPDV,20230818,OWL,hsapdv-20230818-owl__hsapdv.owl,642223,https://data.bioontology.org/ontologies/HSAPDV/submissions/179
data.bioontology.org,OLATDV,20240403,OWL,olatdv-20240403-owl__olatdv.owl,131668,https://data.bioontology.org/ontologies/OLATDV/submissions/174
data.bioontology.org,FBbi,20201106,OWL,fbbi-20201106-owl__fbbi.owl,768600,https://data.bioontology.org/ontologies/FBbi/submissions/104
data.bioontology.org,COPDO,20170626,OWL,copdo-20170626-owl__copd-ontology-v4-20170620.owl,37331,https://data.bioontology.org/ontologies/COPDO/submissions/1
data.bioontology.org,ONLIRA,20160201,OWL,onlira-20160201-owl__ONLIRA-v106.owl,126914,https://data.bioontology.org/ontologies/ONLIRA/submissions/4
data.bioontology.org,CL,20240408,OWL,cl-20240408-owl__cl.owl,52744993,https://data.bioontology.org/ontologies/CL/submissions/113
data.bioontology.org,GAZ,20150224,OBO,gaz-20150224-obo__gaz-fixed.zip,17548614,https://data.bioontology.org/ontologies/GAZ/submissions/14
data.bioontology.org,VO,20240409,OWL,vo-20240409-owl__vo.owl,10993615,https://data.bioontology.org/ontologies/VO/submissions/291
data.bioontology.org,PDUMDV,20240403,OWL,pdumdv-20240403-owl__pdumdv.owl,73212,https://data.bioontology.org/ontologies/PDUMDV/submissions/175
data.bioontology.org,NIFSTD,20180210,OWL,nifstd-20180210-owl__nif.ttl,3801,https://data.bioontology.org/ontologies/NIFSTD/submissions/27
data.bioontology.org,XCO,20240506,OBO,xco-20240506-obo__experimental-condition.obo,762128,https://data.bioontology.org/ontologies/XCO/submissions/179
data.bioontology.org,ITO,20220909,OWL,ito-20220909-owl__ITO-instances-removed.owl,53946229,https://data.bioontology.org/ontologies/ITO/submissions/17
data.bioontology.org,ICD10CM,20240131,UMLS,icd10cm-20240131-umls__ICD10CM.ttl,51885017,https://data.bioontology.org/ontologies/ICD10CM/submissions/25
data.bioontology.org,TAO,20130822,OBO,tao-20130822-obo__tao.obo,903285,https://data.bioontology.org/ontologies/TAO/submissions/135
data.bioontology.org,FAO,20200507,OWL,fao-20200507-owl__fao.owl,223347,https://data.bioontology.org/ontologies/FAO/submissions/27
data.bioontology.org,EUPATH,20230601,OWL,eupath-20230601-owl__eupath.owl,5496422,https://data.bioontology.org/ontologies/EUPATH/submissions/19
data.bioontology.org,IDO,20200803,OWL,ido-20200803-owl__idofunctionalupdated.owl,389650,https://data.bioontology.org/ontologies/IDO/submissions/13
data.bioontology.org,ZFA,20221209,OBO,zfa-20221209-obo__zfa.obo,1636186,https://data.bioontology.org/ontologies/ZFA/submissions/248
data.bioontology.org,FB-CV,20240425,OWL,fb-cv-20240425-owl__fbcv.owl,4341464,https://data.bioontology.org/ontologies/FB-CV/submissions/49
data.bioontology.org,EDAM,20210226,OWL,edam-20210226-owl__EDAM-dev.owl,3411598,https://data.bioontology.org/ontologies/EDAM/submissions/44
data.bioontology.org,UO,20230809,OWL,uo-20230809-owl__uo.owl,559907,https://data.bioontology.org/ontologies/UO/submissions/220
data.bioontology.org,MP,20240429,OBO,mp-20240429-obo__MPheno-OBO.ontology,7337854,https://data.bioontology.org/ontologies/MP/submissions/433
data.bioontology.org,ICD9CM,20240131,UMLS,icd9cm-20240131-umls__ICD9CM.ttl,10513565,https://data.bioontology.org/ontologies/ICD9CM/submissions/25
data.bioontology.org,MPATH,20230930,OBO,mpath-20230930-obo__mpath.obo,251774,https://data.bioontology.org/ontologies/MPATH/submissions/22
data.bioontology.org,WIKIPATHWAYS,20231112,OWL,wikipathways-20231112-owl__wp.owl,13468,https://data.bioontology.org/ontologies/WIKIPATHWAYS/submissions/229
data.bioontology.org,DUO,20210223,OWL,duo-20210223-owl__duo.owl,108348,https://data.bioontology.org/ontologies/DUO/submissions/8
data.bioontology.org,ENVTHES,20240405,SKOS,envthes-20240405-skos__EnvThes.ttl,3548169,https://data.bioontology.org/ontologies/ENVTHES/submissions/32
data.bioontology.org,BCO,20211114,OWL,bco-20211114-owl__bco.owl,899384,https://data.bioontology.org/ontologies/BCO/submissions/11
data.bioontology.org,COVIDCRFRAPID,20200624,OWL,covidcrfrapid-20200624-owl__WHO-COVID-19-Rapid-Version-CRF-Ontology.owl,408321,https://data.bioontology.org/ontologies/COVIDCRFRAPID/submissions/12
data.bioontology.org,ECO,20240325,OBO,eco-20240325-obo__eco.obo,1241198,https://data.bioontology.org/ontologies/ECO/submissions/119
data.bioontology.org,ONL-MSA,20130709,OWL,onl-msa-20130709-owl__ontoneurolog-mental-state-assessment.owl,1009643,https://data.bioontology.org/ontologies/ONL-MSA/submissions/1
data.bioontology.org,CCF,20231214,OWL,ccf-20231214-owl__ccf.owl,44683831,https://data.bioontology.org/ontologies/CCF/submissions/15
data.bioontology.org,HTN,20190904,OWL,htn-20190904-owl__htn.owl,1322067,https://data.bioontology.org/ontologies/HTN/submissions/1
data.bioontology.org,NOMEN,20231215,OWL,nomen-20231215-owl__nomen.owl,177215,https://data.bioontology.org/ontologies/NOMEN/submissions/15
data.bioontology.org,MARC-RELATORS,20240228,SKOS,marc-relators-20240228-skos__relators.nt,118073,https://data.bioontology.org/ontologies/MARC-RELATORS/submissions/6
data.bioontology.org,PDQ,20240131,UMLS,pdq-20240131-umls__PDQ.ttl,19495114,https://data.bioontology.org/ontologies/PDQ/submissions/25
data.bioontology.org,OBOREL,20240501,OWL,oborel-20240501-owl__ro.owl,1113886,https://data.bioontology.org/ontologies/OBOREL/submissions/42
data.bioontology.org,NBO,20230704,OWL,nbo-20230704-owl__nbo.owl,5635046,https://data.bioontology.org/ontologies/NBO/submissions/38
data.bioontology.org,PR,20240216,OBO,pr-20240216-obo__pro-reasoned.obo,222791341,https://data.bioontology.org/ontologies/PR/submissions/88
data.bioontology.org,ODNAE,20160516,OWL,odnae-20160516-owl__odnae-merged.owl,2021077,https://data.bioontology.org/ontologies/ODNAE/submissions/3
data.bioontology.org,PLANA,20230313,OWL,plana-20230313-owl__plana.owl,2529953,https://data.bioontology.org/ontologies/PLANA/submissions/36
data.bioontology.org,HL7,20240131,UMLS,hl7-20240131-umls__HL7.ttl,10170040,https://data.bioontology.org/ontologies/HL7/submissions/23
data.bioontology.org,FAST-TITLE,20170905,SKOS,fast-title-20170905-skos__FASTTitle.nt,100945658,https://data.bioontology.org/ontologies/FAST-TITLE/submissions/1
data.bioontology.org,MMUSDV,20180912,OWL,mmusdv-20180912-owl__mmusdv.owl,310367,https://data.bioontology.org/ontologies/MMUSDV/submissions/40
data.bioontology.org,MFOMD,20200426,OWL,mfomd-20200426-owl__MFOMD.owl,7116,https://data.bioontology.org/ontologies/MFOMD/submissions/2
data.bioontology.org,CBO,20210922,OWL,cbo-20210922-owl__CBO.owl,418289,https://data.bioontology.org/ontologies/CBO/submissions/25
data.bioontology.org,PSIMOD,20220614,OBO,psimod-20220614-obo__PSI-MOD.obo,1830852,https://data.bioontology.org/ontologies/PSIMOD/submissions/26
data.bioontology.org,CTU_BEREADY_GEM,20230310,SKOS,ctu_beready_gem-20230310-skos__gem-onto-1level-v0-01.ttl,117327,https://data.bioontology.org/ontologies/CTU_BEREADY_GEM/submissions/3
data.bioontology.org,IDOMAL,20170905,OBO,idomal-20170905-obo__MALARIA-IDOMAL1.3.9-2015-03.obo,858001,https://data.bioontology.org/ontologies/IDOMAL/submissions/186
data.bioontology.org,NEMO,20131021,OWL,nemo-20131021-owl__RackMultipart20131021-23110-1vlki4d.owl,4396395,https://data.bioontology.org/ontologies/NEMO/submissions/24
data.bioontology.org,RDL,20160107,OWL,rdl-20160107-owl__RDL.owl,218143867,https://data.bioontology.org/ontologies/RDL/submissions/1
data.bioontology.org,DRON,20240303,OWL,dron-20240303-owl__dron.owl,584124570,https://data.bioontology.org/ontologies/DRON/submissions/22
data.bioontology.org,ICO,20210401,OWL,ico-20210401-owl__ico.owl,1510853,https://data.bioontology.org/ontologies/ICO/submissions/17
data.bioontology.org,PCALION,20201029,OWL,pcalion-20201029-owl__20201027PCaLifeStyleOntology.owl,765818,https://data.bioontology.org/ontologies/PCALION/submissions/6
data.bioontology.org,NIFDYS,20180411,OWL,nifdys-20180411-owl__NIF-Dysfunction.ttl,437531,https://data.bioontology.org/ontologies/NIFDYS/submissions/16
data.bioontology.org,ECG,20140912,OWL,ecg-20140912-owl__ECGOntologyv1.owl,746538,https://data.bioontology.org/ontologies/ECG/submissions/12
data.bioontology.org,XPO,20240421,OWL,xpo-20240421-owl__xpo.owl,96602359,https://data.bioontology.org/ontologies/XPO/submissions/11
data.bioontology.org,ROS,20170727,OWL,ros-20170727-owl__RadiationOncologyStructures1.2.2.owl,207062,https://data.bioontology.org/ontologies/ROS/submissions/6
data.bioontology.org,HIV,20210106,OBO,hiv-20210106-obo__HIVOntology2.7.obo,2411067,https://data.bioontology.org/ontologies/HIV/submissions/10
data.bioontology.org,NPO,20120817,OWL,npo-20120817-owl__npo-2011-12-08-inferred.owl,2930548,https://data.bioontology.org/ontologies/NPO/submissions/31
data.bioontology.org,ENVO,20240216,OWL,envo-20240216-owl__envo.owl,9733906,https://data.bioontology.org/ontologies/ENVO/submissions/59
data.bioontology.org,PPO,20181029,OWL,ppo-20181029-owl__ppo.owl,1590150,https://data.bioontology.org/ontologies/PPO/submissions/8
data.bioontology.org,MINERAL,20160107,OWL,mineral-20160107-owl__matrMineral.owl,4038,https://data.bioontology.org/ontologies/MINERAL/submissions/1
data.bioontology.org,FB-BT,20240425,OBO,fb-bt-20240425-obo__fbbt.obo,30438598,https://data.bioontology.org/ontologies/FB-BT/submissions/81
data.bioontology.org,ISSVA,20210429,OWL,issva-20210429-owl__issva-ontology.owl,136603,https://data.bioontology.org/ontologies/ISSVA/submissions/5
data.bioontology.org,CHEMINF,20240410,OWL,cheminf-20240410-owl__cheminf.owl,261362,https://data.bioontology.org/ontologies/CHEMINF/submissions/52
data.bioontology.org,SNMI,20240131,UMLS,snmi-20240131-umls__SNMI.ttl,67539272,https://data.bioontology.org/ontologies/SNMI/submissions/23
data.bioontology.org,NGSONTO,20170313,OWL,ngsonto-20170313-owl__ngsonto2016-innuendo.owl,104543,https://data.bioontology.org/ontologies/NGSONTO/submissions/32
data.bioontology.org,OMIM,20240131,UMLS,omim-20240131-umls__OMIM.ttl,107624332,https://data.bioontology.org/ontologies/OMIM/submissions/25
data.bioontology.org,AEO,20171122,OWL,aeo-20171122-owl__aeo.owl,407189,https://data.bioontology.org/ontologies/AEO/submissions/7
data.bioontology.org,STY,20240131,UMLS,sty-20240131-umls__umls-semantictypes.ttl,32566,https://data.bioontology.org/ontologies/STY/submissions/22
data.bioontology.org,GENO,20231008,OWL,geno-20231008-owl__geno.owl,624254,https://data.bioontology.org/ontologies/GENO/submissions/31
data.bioontology.org,CIDOC-CRM,20171122,OWL,cidoc-crm-20171122-owl__cidoc-crm-v6.2-draft-2015August.rdfs.xml,351991,https://data.bioontology.org/ontologies/CIDOC-CRM/submissions/2
data.bioontology.org,OHMI,20190923,OWL,ohmi-20190923-owl__ohmi.owl,2533276,https://data.bioontology.org/ontologies/OHMI/submissions/26
data.bioontology.org,ATC,20240131,UMLS,atc-20240131-umls__ATC.ttl,3696304,https://data.bioontology.org/ontologies/ATC/submissions/21
data.bioontology.org,BSPO,20230527,OWL,bspo-20230527-owl__bspo.owl,589018,https://data.bioontology.org/ontologies/BSPO/submissions/32
data.bioontology.org,PECO,20231110,OBO,peco-20231110-obo__peco.obo,418317,https://data.bioontology.org/ontologies/PECO/submissions/31
data.bioontology.org,GFVO,20161014,OWL,gfvo-20161014-owl__gfvo-bioportal.xml,146583,https://data.bioontology.org/ontologies/GFVO/submissions/20
data.bioontology.org,FALDO,20220907,OWL,faldo-20220907-owl__faldo.rdf,25812,https://data.bioontology.org/ontologies/FALDO/submissions/18
data.bioontology.org,OBA,20240327,OWL,oba-20240327-owl__oba.owl,110754135,https://data.bioontology.org/ontologies/OBA/submissions/18
data.bioontology.org,MEDLINEPLUS,20240131,UMLS,medlineplus-20240131-umls__MEDLINEPLUS.ttl,7518206,https://data.bioontology.org/ontologies/MEDLINEPLUS/submissions/22
data.bioontology.org,BRAIN-COF,20240408,OWL,brain-cof-20240408-owl__tree-structure-brain-anatomy-FastSurfer-v3.rdf,122499,https://data.bioontology.org/ontologies/BRAIN-COF/submissions/2
data.bioontology.org,LC-MEDIA,20200702,SKOS,lc-media-20200702-skos__mediaTypes.nt,13256,https://data.bioontology.org/ontologies/LC-MEDIA/submissions/17
data.bioontology.org,MFMO,20170921,OWL,mfmo-20170921-owl__feed.owl,199737,https://data.bioontology.org/ontologies/MFMO/submissions/1
data.bioontology.org,GRO,20160106,OWL,gro-20160106-owl__GRO-v0.5.owl,428840,https://data.bioontology.org/ontologies/GRO/submissions/5
data.bioontology.org,COB,20240124,OWL,cob-20240124-owl__cob.owl,58006,https://data.bioontology.org/ontologies/COB/submissions/15
data.bioontology.org,DCTERMS,20170713,SKOS,dcterms-20170713-skos__dcterms.rdf,87171,https://data.bioontology.org/ontologies/DCTERMS/submissions/1
data.bioontology.org,EXO,20221122,OBO,exo-20221122-obo__exo.obo,61150,https://data.bioontology.org/ontologies/EXO/submissions/11
data.bioontology.org,APOLLO-SV,20240419,OWL,apollo-sv-20240419-owl__apollo-sv.owl,2716048,https://data.bioontology.org/ontologies/APOLLO-SV/submissions/63
data.bioontology.org,WB-LS,20190205,OBO,wb-ls-20190205-obo__worm-development.obo,333728,https://data.bioontology.org/ontologies/WB-LS/submissions/50
data.bioontology.org,DDANAT,20240109,OBO,ddanat-20240109-obo__dicty-anatomy.obo,59322,https://data.bioontology.org/ontologies/DDANAT/submissions/24
data.bioontology.org,ELTER_CL,20240105,SKOS,elter_cl-20240105-skos__elter-cl.ttl,179231,https://data.bioontology.org/ontologies/ELTER_CL/submissions/46
data.bioontology.org,CIDO,20240216,OWL,cido-20240216-owl__cido.owl,46951577,https://data.bioontology.org/ontologies/CIDO/submissions/42
data.bioontology.org,CMO,20240506,OBO,cmo-20240506-obo__clinical-measurement.obo,2441460,https://data.bioontology.org/ontologies/CMO/submissions/132
data.bioontology.org,COSTART,20240131,UMLS,costart-20240131-umls__COSTART.ttl,1048480,https://data.bioontology.org/ontologies/COSTART/submissions/23
data.bioontology.org,LUNGMAP-HUMAN,20190730,OWL,lungmap-human-20190730-owl__LMHA-20190728.owl,383384,https://data.bioontology.org/ontologies/LUNGMAP-HUMAN/submissions/6
data.bioontology.org,INFRARISK,20210211,OWL,infrarisk-20210211-owl__InfraRisk.owl,81799,https://data.bioontology.org/ontologies/INFRARISK/submissions/1
data.bioontology.org,GNO,20240418,OWL,gno-20240418-owl__GNOme.owl,207506539,https://data.bioontology.org/ontologies/GNO/submissions/14
data.bioontology.org,OMRSE,20240325,OWL,omrse-20240325-owl__omrse.owl,1334907,https://data.bioontology.org/ontologies/OMRSE/submissions/60
data.bioontology.org,RBO,20240314,OWL,rbo-20240314-owl__rbo.owl,28095471,https://data.bioontology.org/ontologies/RBO/submissions/26
data.bioontology.org,OARCS,20190418,OWL,oarcs-20190418-owl__oarcs.owl,704087,https://data.bioontology.org/ontologies/OARCS/submissions/2
data.bioontology.org,OM,20240418,OWL,om-20240418-owl__om-2.0.rdf,2004944,https://data.bioontology.org/ontologies/OM/submissions/29
data.bioontology.org,OVAE,20160514,OWL,ovae-20160514-owl__ovae-merged.owl,3945072,https://data.bioontology.org/ontologies/OVAE/submissions/10
data.bioontology.org,HCPCS,20240131,UMLS,hcpcs-20240131-umls__HCPCS.ttl,10209836,https://data.bioontology.org/ontologies/HCPCS/submissions/23
data.bioontology.org,LUNGMAP-MOUSE,20190728,OWL,lungmap-mouse-20190728-owl__LMMA-20190728.owl,750507,https://data.bioontology.org/ontologies/LUNGMAP-MOUSE/submissions/4
data.bioontology.org,XLMOD,20210324,OBO,xlmod-20210324-obo__XLMOD.obo,430570,https://data.bioontology.org/ontologies/XLMOD/submissions/4
data.bioontology.org,CMPO,20150624,OWL,cmpo-20150624-owl__cmpo.owl,4209923,https://data.bioontology.org/ontologies/CMPO/submissions/14
data.bioontology.org,RADLEX,20201120,OWL,radlex-20201120-owl__RadLex.owl,104264643,https://data.bioontology.org/ontologies/RADLEX/submissions/41
data.bioontology.org,WB-BT,20240402,OBO,wb-bt-20240402-obo__wbbt.obo,1615151,https://data.bioontology.org/ontologies/WB-BT/submissions/143
data.bioontology.org,KISAO,20240314,OWL,kisao-20240314-owl__kisao.owl,1122710,https://data.bioontology.org/ontologies/KISAO/submissions/63
data.bioontology.org,MEDO,20121122,OWL,medo-20121122-owl__experimental-design-ontology-1.0.owl,48832,https://data.bioontology.org/ontologies/MEDO/submissions/1
data.bioontology.org,PCL,20240115,OWL,pcl-20240115-owl__pcl.owl,122441370,https://data.bioontology.org/ontologies/PCL/submissions/22
data.bioontology.org,VHOG,20231121,OBO,vhog-20231121-obo__vHOG.obo,270799,https://data.bioontology.org/ontologies/VHOG/submissions/13
data.bioontology.org,MHCRO,20231221,OWL,mhcro-20231221-owl__mro.owl,82377121,https://data.bioontology.org/ontologies/MHCRO/submissions/34
data.bioontology.org,BTO,20220204,OBO,bto-20220204-obo__BrendaTissueOBO.obo,2107454,https://data.bioontology.org/ontologies/BTO/submissions/67
data.bioontology.org,HAO,20230601,OWL,hao-20230601-owl__hao.owl,7007288,https://data.bioontology.org/ontologies/HAO/submissions/27
data.bioontology.org,NEO,20221025,OWL,neo-20221025-owl__NEO.owl,1344926,https://data.bioontology.org/ontologies/NEO/submissions/90
data.bioontology.org,OHPI,20190930,OWL,ohpi-20190930-owl__ohpi-full.owl,29024306,https://data.bioontology.org/ontologies/OHPI/submissions/11
data.bioontology.org,TMO,20160516,OWL,tmo-20160516-owl__tmo.owl,135280,https://data.bioontology.org/ontologies/TMO/submissions/13
data.bioontology.org,VDOT,20210111,OWL,vdot-20210111-owl__vdot-core.owl,117704,https://data.bioontology.org/ontologies/VDOT/submissions/35
data.bioontology.org,CHEAR,20190910,OWL,chear-20190910-owl__chear.owl,542560,https://data.bioontology.org/ontologies/CHEAR/submissions/15
data.bioontology.org,CDAO,20130820,OWL,cdao-20130820-owl__cdao.owl,110550,https://data.bioontology.org/ontologies/CDAO/submissions/7
data.bioontology.org,PDRO,20200904,OWL,pdro-20200904-owl__pdro.owl,223166,https://data.bioontology.org/ontologies/PDRO/submissions/9
data.bioontology.org,OPMI,20240316,OWL,opmi-20240316-owl__opmi-merged.owl,4188480,https://data.bioontology.org/ontologies/OPMI/submissions/27
data.bioontology.org,PREGONTO,20181031,OWL,pregonto-20181031-owl__pregnancy-ontology-v0-1-20181019.owl,14305,https://data.bioontology.org/ontologies/PREGONTO/submissions/1
data.bioontology.org,ICD10PCS,20240131,UMLS,icd10pcs-20240131-umls__ICD10PCS.ttl,104010847,https://data.bioontology.org/ontologies/ICD10PCS/submissions/24
data.bioontology.org,MSTDE-FRE,20240131,UMLS,mstde-fre-20240131-umls__MSTDE-FRE.ttl,585935,https://data.bioontology.org/ontologies/MSTDE-FRE/submissions/23
data.bioontology.org,CLO,20220321,OWL,clo-20220321-owl__clo-merged.owl,51785922,https://data.bioontology.org/ontologies/CLO/submissions/65
data.bioontology.org,PHIPO,20240404,OWL,phipo-20240404-owl__phipo.owl,12880533,https://data.bioontology.org/ontologies/PHIPO/submissions/28
data.bioontology.org,VTO,20201113,OWL,vto-20201113-owl__vto.owl,152582746,https://data.bioontology.org/ontologies/VTO/submissions/14
data.bioontology.org,EMAPA,20221104,OWL,emapa-20221104-owl__emapa.owl,10768731,https://data.bioontology.org/ontologies/EMAPA/submissions/48
data.bioontology.org,BIPON,20171108,OWL,bipon-20171108-owl__BiPON.owl,3707496,https://data.bioontology.org/ontologies/BIPON/submissions/3
data.bioontology.org,VSAO,20180221,OBO,vsao-20180221-obo__vsao.owl,600603,https://data.bioontology.org/ontologies/VSAO/submissions/21
data.bioontology.org,HGNC-NR,20240304,OWL,hgnc-nr-20240304-owl__hgnc.owl.gz,7120501,https://data.bioontology.org/ontologies/HGNC-NR/submissions/11
data.bioontology.org,AI-RHEUM,20240131,UMLS,ai-rheum-20240131-umls__AI-RHEUM.ttl,408735,https://data.bioontology.org/ontologies/AI-RHEUM/submissions/23
data.bioontology.org,HOM,20220112,OWL,hom-20220112-owl__hom.owl,128032,https://data.bioontology.org/ontologies/HOM/submissions/7
data.bioontology.org,BHN,20131119,OWL,bhn-20131119-owl__RackMultipart20131119-17178-uc75i6.owl,1050834,https://data.bioontology.org/ontologies/BHN/submissions/1
data.bioontology.org,LIPRO,20140211,OWL,lipro-20140211-owl__lipid-classification-service-ontology.owl,50539,https://data.bioontology.org/ontologies/LIPRO/submissions/4
